,validated_id,current_symbol,Official_ID,First_Author,Year,PMID,website_address
1,FBgn0000024,Ace,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
2,FBgn0033367,PPO2,LinearUp-2,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
3,FBgn0000028,acj6,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
4,FBgn0004435,Gαq,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
5,FBgn0033368,CG13743,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
6,FBgn0000036,nAChRα1,LinearDown-3,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
7,FBgn0027052,STUB1,LinearDown-3,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
8,FBgn0027070,Ugt36E1,LinearUp-1,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
9,FBgn0000038,nAChRβ1,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
10,FBgn0037911,CG10898,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
11,FBgn0033374,Boot,LinearUp-3,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
12,FBgn0063649,CG6006,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
13,FBgn0000039,nAChRα2,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
14,FBgn0262562,CG43102,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
15,FBgn0033379,Mys45A,LinearUp-4,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
16,FBgn0000042,Act5C,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
17,FBgn0033381,GstE13,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
18,FBgn0027074,Ugt36F1,LinearUp-8,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
19,FBgn0033382,Hydr1,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
20,FBgn0000044,Act57B,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
21,FBgn0027080,TyrRS,Complex-8,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
22,FBgn0033387,CG8008,LinearUp-3,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
23,FBgn0027084,LysRS,Complex-8,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
24,FBgn0064225,RpL5,LinearUp-1,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
25,FBgn0027085,LeuRS-m,LinearDown-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
26,FBgn0000046,Act87E,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
27,FBgn0027086,IleRS,LinearUp-8,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
28,FBgn0027087,HisRS,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
29,FBgn0004554,Edg91,Complex-12,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
30,FBgn0027088,GlyRS,LinearUp-8,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
31,FBgn0000047,Act88F,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
32,FBgn0033397,Cyp4p3,LinearUp-2,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
33,FBgn0027090,GlnRS,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
34,FBgn0031940,CG7214,Complex-12,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
35,FBgn0027091,CysRS,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
36,FBgn0027093,ArgRS,LinearUp-1,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
37,FBgn0015520,nonA-l,LinearDown-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
38,FBgn0000052,Pfas,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
39,FBgn0027094,AlaRS,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
40,FBgn0067628,CG33331,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
41,FBgn0027095,Manf,LinearUp-7,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
42,FBgn0037950,HisCl1,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
43,FBgn0033405,CG13954,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
44,FBgn0027108,Inx2,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
