"","validated_id","current_symbol"
"1","FBgn0000024","Ace"
"2","FBgn0000036","nAChRα1"
"3","FBgn0000038","nAChRβ1"
"4","FBgn0000039","nAChRα2"
"5","FBgn0000042","Act5C"
"6","FBgn0000044","Act57B"
"7","FBgn0000046","Act87E"
"8","FBgn0000047","Act88F"
"9","FBgn0000052","Pfas"
"10","FBgn0000053","Gart"
"11","FBgn0000056","Adhr"
"12","FBgn0000071","Ama"
"13","FBgn0000078","Amy-d"
"14","FBgn0000079","Amy-p"
"15","FBgn0000083","AnxB9"
"16","FBgn0000084","AnxB10"
"17","FBgn0000097","aop"
"18","FBgn0000100","RpLP0"
"19","FBgn0000108","Appl"
"20","FBgn0000116","Argk1"
"21","FBgn0000121","Arr2"
"22","FBgn0000147","aurA"
"23","FBgn0000150","awd"
"24","FBgn0000158","bam"
"25","FBgn0000163","baz"
"26","FBgn0000173","ben"
"27","FBgn0000181","bic"
"28","FBgn0000183","BicD"
"29","FBgn0000206","boss"
"30","FBgn0000212","brm"
"31","FBgn0000229","bsk"
"32","FBgn0000239","bur"
"33","FBgn0000246","c(3)G"
"34","FBgn0000250","cact"
"35","FBgn0000253","Cam"
"36","FBgn0000256","capu"
"37","FBgn0000273","Pka-C1"
"38","FBgn0000276","CecA1"
"39","FBgn0000277","CecA2"
"40","FBgn0000278","CecB"
"41","FBgn0000279","CecC"
"42","FBgn0000299","Col4a1"
"43","FBgn0000303","ChAT"
"44","FBgn0000307","chif"
"45","FBgn0000308","chic"
"46","FBgn0000317","ck"
"47","FBgn0000339","cni"
"48","FBgn0000346","comt"
"49","FBgn0000352","cos"
"50","FBgn0000370","crc"
"51","FBgn0000377","crn"
"52","FBgn0000395","cv-2"
"53","FBgn0000406","Cyt-b5-r"
"54","FBgn0000416","Sap-r"
"55","FBgn0000422","Ddc"
"56","FBgn0000439","Dfd"
"57","FBgn0000442","Pkg21D"
"58","FBgn0000447","Dhod"
"59","FBgn0000448","Hr3"
"60","FBgn0000451","ect"
"61","FBgn0000454","Dip-B"
"62","FBgn0000459","disco"
"63","FBgn0000463","Delta"
"64","FBgn0000464","Lar"
"65","FBgn0289743","Cyp6a2"
