,gene_id,day,Samples,Norm_Counts,survivorship,sp,validated_id,current_symbol
90961,FBgn0024248,27,27a,321.9909,0.6995397,7,FBgn0024248,chico
90962,FBgn0024248,14,14c,314.3461,0.9616176,4,FBgn0024248,chico
90963,FBgn0024248,59,59g,302.6651,0.0192379,15,FBgn0024248,chico
90964,FBgn0024248,27,27b,351.1882,0.6995397,7,FBgn0024248,chico
90965,FBgn0024248,31,31c,306.1381,0.6472712,8,FBgn0024248,chico
90966,FBgn0024248,10,10a,297.5064,0.9935861,3,FBgn0024248,chico
90967,FBgn0024248,48,48c,389.3231,0.1694146,12,FBgn0024248,chico
90968,FBgn0024248,23,23a,326.3398,0.7575641,6,FBgn0024248,chico
90969,FBgn0024248,14,14b,300.3539,0.9616176,4,FBgn0024248,chico
90970,FBgn0024248,36,36a,379.8347,0.5669878,9,FBgn0024248,chico
90971,FBgn0024248,27,27c,365.6315,0.6995397,7,FBgn0024248,chico
90972,FBgn0024248,17,17b,319.9014,0.9383863,5,FBgn0024248,chico
90973,FBgn0024248,3,3a,306.1951,0.9996167,1,FBgn0024248,chico
90974,FBgn0024248,23,23b,321.8335,0.7575641,6,FBgn0024248,chico
90975,FBgn0024248,38,38a,350.695,0.5157502,10,FBgn0024248,chico
90976,FBgn0024248,3,3c,332.4801,0.9996167,1,FBgn0024248,chico
90977,FBgn0024248,59,59a,324.0679,0.0192379,15,FBgn0024248,chico
90978,FBgn0024248,50,50d,375.4057,0.1075575,13,FBgn0024248,chico
90979,FBgn0024248,50,50a,386.3453,0.1075575,13,FBgn0024248,chico
90980,FBgn0024248,59,59b,335.5895,0.0192379,15,FBgn0024248,chico
90981,FBgn0024248,48,48a,365.3468,0.1694146,12,FBgn0024248,chico
90982,FBgn0024248,23,23c,362.1537,0.7575641,6,FBgn0024248,chico
90983,FBgn0024248,17,17a,316.4902,0.9383863,5,FBgn0024248,chico
90984,FBgn0024248,10,10c,336.8211,0.9935861,3,FBgn0024248,chico
90985,FBgn0024248,10,10b,311.0254,0.9935861,3,FBgn0024248,chico
90986,FBgn0024248,59,59e,344.2491,0.0192379,15,FBgn0024248,chico
90987,FBgn0024248,59,59d,372.3386,0.0192379,15,FBgn0024248,chico
90988,FBgn0024248,6,6a,308.4908,0.9976817,2,FBgn0024248,chico
90989,FBgn0024248,42,42b,331.2549,0.391936,11,FBgn0024248,chico
